Complaint ID,Product
1604681,Credit card
2220791,Credit card
9722226,Credit card
8148474,Credit card
8148474,Credit card
10066395,Credit card
2172647,Credit card
8355102,Credit card
8355102,Credit card
1683626,Credit card
1683626,Credit card
9586850,Credit card
8632931,Credit card
1613962,Credit card
8689439,Credit card
1944728,Credit card
11965305,Credit card
11965305,Credit card
8793668,Credit card
8811745,Credit card
12184028,Credit card
9738803,Credit card
8295169,Credit card
12772516,Credit card
8553099,Credit card
1768777,Credit card
8533165,Credit card
10601367,Credit card
10601367,Credit card
7532556,Credit card
10049107,Credit card
7563789,Credit card
10898164,Credit card
7799770,Credit card
10549698,Credit card
10549698,Credit card
2251649,Credit card
9042197,Credit card
12080803,Credit card
8278797,Credit card
1446466,Credit card
8162128,Credit card
11767251,Credit card
7813898,Credit card
12063677,Credit card
8827392,Credit card
1851673,Credit card
7801252,Credit card
10058519,Credit card
11687089,Credit card
11242118,Credit card
11808998,Credit card
8478413,Credit card
7853084,Credit card
12245508,Credit card
12245508,Credit card
12303493,Credit card
2284732,Credit card
2284732,Credit card
10780052,Credit card
10375473,Credit card
9846598,Credit card
11358868,Credit card
9656304,Credit card
2348289,Credit card
2149053,Credit card
2301626,Credit card
12759851,Credit card
8392339,Credit card
8392339,Credit card
8482087,Credit card
9397063,Credit card
9397063,Credit card
1531804,Credit card
11753492,Credit card
11647481,Credit card
7509842,Credit card
7509842,Credit card
7509842,Credit card
7509842,Credit card
7727958,Credit card
9943485,Credit card
9943485,Credit card
9943485,Credit card
9943485,Credit card
2135065,Credit card
7537749,Credit card
10037411,Credit card
1539519,Credit card
2214005,Credit card
2141246,Credit card
2141246,Credit card
2141246,Credit card
2141246,Credit card
9952555,Credit card
9952555,Credit card
9952555,Credit card
12888000,Credit card
12966416,Credit card
10851571,Credit card
2164011,Credit card
1932379,Credit card
2411130,Credit card
2411130,Credit card
11888027,Credit card
11888027,Credit card
11888027,Credit card
11888027,Credit card
11888027,Credit card
11888027,Credit card
10480435,Credit card
11797581,Credit card
1386640,Credit card
7836638,Credit card
8657772,Credit card
11852394,Credit card
11852394,Credit card
11852394,Credit card
11852394,Credit card
11852394,Credit card
8591787,Credit card
8745130,Credit card
8036494,Credit card
12820401,Credit card
7560262,Credit card
1721816,Credit card
1721816,Credit card
7767207,Credit card
8722981,Credit card
8919829,Credit card
8919829,Credit card
8850331,Credit card
9566880,Credit card
11629007,Credit card
11629007,Credit card
1974854,Credit card
8913481,Credit card
11727801,Credit card
10675562,Credit card
7487795,Credit card
10947067,Credit card
8740029,Credit card
8740029,Credit card
11805205,Credit card
8435659,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
8725781,Credit card
1326811,Credit card
9515135,Credit card
8465481,Credit card
8465481,Credit card
8465481,Credit card
8465481,Credit card
8354418,Credit card
7570307,Credit card
7570307,Credit card
1816940,Credit card
11946478,Credit card
11946478,Credit card
1855074,Credit card
8632422,Credit card
1838333,Credit card
8423868,Credit card
8423868,Credit card
1874095,Credit card
8775545,Credit card
7926642,Credit card
7926642,Credit card
2159460,Credit card
2159460,Credit card
13438798,Credit card
13438798,Credit card
8549524,Credit card
8549524,Credit card
8168907,Credit card
7486625,Credit card
11971151,Credit card
11971151,Credit card
10062472,Credit card
8249666,Credit card
8250331,Credit card
1640025,Credit card
7901341,Credit card
11995877,Credit card
9376768,Credit card
11598676,Credit card
11598676,Credit card
